personnel_id,rank,abbreviation,service,date
80-3328214,Private,PTE,Army,30/11/2012
58-0369652,Lance Corporal,LCPL,Army,09/03/2010
48-6960136,Corporal,CPL,Army,08/10/2006
12-5241619,Sergeant,SGT,Army,25/12/2003
69-7711375,Staff Sergeant,SSGT ,Army,02/09/2011
29-5074257,Warrant Officer Class Two,WO2,Army,21/01/2004
52-6071312,Warrant Officer Class One,WO1,Army,29/08/2023
31-3957221,Regimental Sergeant Major of the Army,RSM-A,Army,27/03/2002
31-2293300,Officer Cadet,OCDT,Army,04/02/2011
49-5725912,2nd Lieutenant,2LT,Army,31/12/2008
65-0730149,Lieutenant,LT,Army,04/02/2023
57-3774874,Captain,CAPT,Army,17/08/2012
02-0795632,Major,MAJ,Army,09/03/2018
12-0068018,Lieutenant Colonel,LTCOL,Army,12/02/2021
57-8183641,Colonel,COL,Army,12/08/2003
93-2225857,Brigadier,BRIG,Army,15/02/2009
08-2559144,Major General,MAJGEN,Army,26/01/2001
66-0859405,Lieutenant General,LTGEN,Army,07/09/2023
80-4765815,General,GEN,Army,18/09/2009
27-6904650,Aircraftman / Aircraftwoman,AC / ACW ,RAAF,30/11/2013
04-2161220,Leading Aircraftman / Aircraftwoman,LAC / LACW,RAAF,27/01/2012
13-6199397,Corporal,CPL,RAAF,21/06/2017
03-8543819,Sergeant,SGT,RAAF,21/06/2010
53-6981952,Flight Sergeant,FSGT,RAAF,26/03/2014
07-1113650,Warrant Officer,WOFF,RAAF,24/03/2015
60-1627525,Warrant Officer of the Air Force,WOFF-AF ,RAAF,29/09/2021
80-7920797,Officer Cadet,OFFCDT ,RAAF,28/05/2006
81-2752401,Pilot Officer,PLTOFF,RAAF,15/01/2022
96-7201464,Flying Officer,FLGOFF,RAAF,04/10/2008
55-1221628,Flight Lieutenant,FLTLT,RAAF,04/10/2019
49-3009345,Squadron Leader,SQNLDR,RAAF,29/06/2002
55-0473078,Wing Commander,WGCDR,RAAF,17/02/2007
11-5007491,Group Captain,GPCAPT,RAAF,02/02/2010
69-4802311,Air Commodore,AIRCDRE,RAAF,28/03/2016
18-1377352,Air Vice-Marshal,AVM,RAAF,23/12/2009
26-7014353,Air Marshal,AIRMSHL,RAAF,04/09/2023
62-2726205,Air Chief Marshal,ACM,RAAF,22/02/2021
43-1502722,Seaman,SMN,RAN,09/11/2015
02-5555461,Able Seaman,AB,RAN,06/10/2004
02-4265351,Leading Seaman,LS,RAN,29/04/2007
95-0930933,Petty Officer,PO,RAN,12/08/2002
56-9617606,Chief Petty Officer,CPO,RAN,02/02/2017
64-8870965,Warrant Officer,WO,RAN,29/01/2013
15-3140135,Warrant Officer of the Navy,WO-N,RAN,13/12/2003
23-6312765,Midshipman,MIDN,RAN,23/04/2020
94-7721767,Acting Sub Lieutenant,SBLT,RAN,15/02/2010
20-6820962,Sub Lieutenant,SBLT,RAN,04/02/2021
62-6318337,Lieutenant,LEUT,RAN,01/08/2006
09-6013429,Lieutenant Commander,LCDR,RAN,29/05/2018
64-9354649,Chaplain,CHAP,RAN,05/01/2015
67-3071202,Commander,CMDR,RAN,10/01/2020
28-9912806,Captain,CAPT,RAN,13/09/2020
39-7403341,Commodore,CDRE,RAN,01/02/2023
89-6954193,Rear Admiral,RADM,RAN,20/09/2007
20-8512936,Vice Admiral,VADM,RAN,27/06/2020
44-1920998,Admiral,ADML,RAN,30/05/2006
00-1905884,Private,PTE,Army,26/11/2020
76-9577150,Lance Corporal,LCPL,Army,16/12/2008
01-2380097,Corporal,CPL,Army,30/04/2022
71-3225118,Sergeant,SGT,Army,10/04/2017
86-7328475,Staff Sergeant,SSGT ,Army,25/09/2006
82-2538129,Warrant Officer Class Two,WO2,Army,13/10/2005
76-9105501,Warrant Officer Class One,WO1,Army,30/09/2023
41-0608809,Regimental Sergeant Major of the Army,RSM-A,Army,20/07/2023
40-9097487,Officer Cadet,OCDT,Army,04/09/2019
78-3250640,2nd Lieutenant,2LT,Army,06/09/2002
06-5570747,Lieutenant,LT,Army,03/12/2019
26-5706125,Captain,CAPT,Army,13/08/2015
